dataset_id,arxiv_id,status,file_size_kb,file_path
cardiffnlp/super_tweeteval,2210.08129,already_exists,373.4560546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\cardiffnlp_super_tweeteval_2210.08129.pdf
stanfordnlp/SHP-2,2112.00861,already_exists,2459.103515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\stanfordnlp_SHP-2_2112.00861.pdf
zai-org/LongBench,2308.14508,already_exists,11358.095703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2308.14508.pdf
zai-org/LongBench,2108.00573,already_exists,955.7529296875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2108.00573.pdf
zai-org/LongBench,1712.07040,already_exists,219.95703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_1712.07040.pdf
zai-org/LongBench,2105.03011,already_exists,494.7353515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2105.03011.pdf
zai-org/LongBench,2104.02112,already_exists,596.6806640625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2104.02112.pdf
zai-org/LongBench,2104.05938,already_exists,697.978515625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2104.05938.pdf
zai-org/LongBench,2305.05280,already_exists,3283.7392578125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2305.05280.pdf
zai-org/LongBench,2303.09752,already_exists,959.39453125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2303.09752.pdf
zai-org/LongBench,1910.10683,already_exists,1162.1298828125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_1910.10683.pdf
zai-org/LongBench,2306.14893,already_exists,466.2705078125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2306.14893.pdf
zai-org/LongBench,2306.03091,already_exists,2553.55859375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongBench_2306.03091.pdf
