dataset_id,arxiv_id,abstract_url,pdf_url
yuecao0119/MMInstruct-GPT4V,1710.07300,https://arxiv.org/abs/1710.07300,https://arxiv.org/pdf/1710.07300.pdf
yuecao0119/MMInstruct-GPT4V,2211.08545,https://arxiv.org/abs/2211.08545,https://arxiv.org/pdf/2211.08545.pdf
edinburgh-dawg/mmlu-redux-2.0,2502.03461,https://arxiv.org/abs/2502.03461,https://arxiv.org/pdf/2502.03461.pdf
edinburgh-dawg/mmlu-redux-2.0,2406.04127,https://arxiv.org/abs/2406.04127,https://arxiv.org/pdf/2406.04127.pdf
yifanzhang114/MME-RealWorld,2408.13257,https://arxiv.org/abs/2408.13257,https://arxiv.org/pdf/2408.13257.pdf
google/frames-benchmark,2409.12941,https://arxiv.org/abs/2409.12941,https://arxiv.org/pdf/2409.12941.pdf
akoksal/muri-it,2409.12958,https://arxiv.org/abs/2409.12958,https://arxiv.org/pdf/2409.12958.pdf
mllmTeam/MobileViews,2409.14337,https://arxiv.org/abs/2409.14337,https://arxiv.org/pdf/2409.14337.pdf
donmaclean/LongMIT-128K,2409.01893,https://arxiv.org/abs/2409.01893,https://arxiv.org/pdf/2409.01893.pdf
parasail-ai/frames-benchmark-wikipedia,2409.12941,https://arxiv.org/abs/2409.12941,https://arxiv.org/pdf/2409.12941.pdf
jiang-cc/MMAD,2410.09453,https://arxiv.org/abs/2410.09453,https://arxiv.org/pdf/2410.09453.pdf
ai4bharat/MILU,2411.02538,https://arxiv.org/abs/2411.02538,https://arxiv.org/pdf/2411.02538.pdf
stefan-m-lenz/UroLlmEvalSet,2501.12106,https://arxiv.org/abs/2501.12106,https://arxiv.org/pdf/2501.12106.pdf
MAmmoTH-VL/MAmmoTH-VL-Instruct-12M,2412.05237,https://arxiv.org/abs/2412.05237,https://arxiv.org/pdf/2412.05237.pdf
FreedomIntelligence/medical-o1-verifiable-problem,2412.18925,https://arxiv.org/abs/2412.18925,https://arxiv.org/pdf/2412.18925.pdf
veds12/math-squared,2407.21009,https://arxiv.org/abs/2407.21009,https://arxiv.org/pdf/2407.21009.pdf
EricLu/SCP-116K,2501.15587,https://arxiv.org/abs/2501.15587,https://arxiv.org/pdf/2501.15587.pdf
UGPhysics/ugphysics,2502.00334,https://arxiv.org/abs/2502.00334,https://arxiv.org/pdf/2502.00334.pdf
Fancy-MLLM/R1-Onevision,2503.10615,https://arxiv.org/abs/2503.10615,https://arxiv.org/pdf/2503.10615.pdf
UGMathBench/ugmathbench,2501.13766,https://arxiv.org/abs/2501.13766,https://arxiv.org/pdf/2501.13766.pdf
czh-up/CoMT,2412.12932,https://arxiv.org/abs/2412.12932,https://arxiv.org/pdf/2412.12932.pdf
zhibei1204/PhysReason,2502.12054,https://arxiv.org/abs/2502.12054,https://arxiv.org/pdf/2502.12054.pdf
SynthLabsAI/Big-Math-RL-Verified,2502.17387,https://arxiv.org/abs/2502.17387,https://arxiv.org/pdf/2502.17387.pdf
jablonkagroup/MaCBench-Prompt-Ablations,2411.16955,https://arxiv.org/abs/2411.16955,https://arxiv.org/pdf/2411.16955.pdf
lintw/VL-Health,2502.09838,https://arxiv.org/abs/2502.09838,https://arxiv.org/pdf/2502.09838.pdf
KodCode/KodCode-V1-SFT-R1,2503.02951,https://arxiv.org/abs/2503.02951,https://arxiv.org/pdf/2503.02951.pdf
chanhee-luke/RoboSpatial-Home,2411.16537,https://arxiv.org/abs/2411.16537,https://arxiv.org/pdf/2411.16537.pdf
ai-forever/solyanka,2212.03533,https://arxiv.org/abs/2212.03533,https://arxiv.org/pdf/2212.03533.pdf
bowen-upenn/PersonaMem,2504.14225,https://arxiv.org/abs/2504.14225,https://arxiv.org/pdf/2504.14225.pdf
rlhn/rlhn-680K,2505.16967,https://arxiv.org/abs/2505.16967,https://arxiv.org/pdf/2505.16967.pdf
Alibaba-NLP/ZeroSearch_dataset,2505.04588,https://arxiv.org/abs/2505.04588,https://arxiv.org/pdf/2505.04588.pdf
PALIN2018/BrowseComp-ZH,2504.19314,https://arxiv.org/abs/2504.19314,https://arxiv.org/pdf/2504.19314.pdf
SentientAGI/crypto-agent-safe-function-calling,2503.16248,https://arxiv.org/abs/2503.16248,https://arxiv.org/pdf/2503.16248.pdf
video-reasoning/morse-500,2506.05523,https://arxiv.org/abs/2506.05523,https://arxiv.org/pdf/2506.05523.pdf
AI4Math/IneqMath,2506.07927,https://arxiv.org/abs/2506.07927,https://arxiv.org/pdf/2506.07927.pdf
ReasoningTrap/AIME,2505.17225,https://arxiv.org/abs/2505.17225,https://arxiv.org/pdf/2505.17225.pdf
vtllms/sealqa,2506.01062,https://arxiv.org/abs/2506.01062,https://arxiv.org/pdf/2506.01062.pdf
IUTVanguard/PhysicsEval,2508.00079,https://arxiv.org/abs/2508.00079,https://arxiv.org/pdf/2508.00079.pdf
ai4bharat/IndicMSMARCO,2506.01615,https://arxiv.org/abs/2506.01615,https://arxiv.org/pdf/2506.01615.pdf
sumuks/openalex,2205.01833,https://arxiv.org/abs/2205.01833,https://arxiv.org/pdf/2205.01833.pdf
lingshu-medical-mllm/ReasonMed,2506.09513,https://arxiv.org/abs/2506.09513,https://arxiv.org/pdf/2506.09513.pdf
lingshu-medical-mllm/ReasonMed,2506.07044,https://arxiv.org/abs/2506.07044,https://arxiv.org/pdf/2506.07044.pdf
Orange/TimeStress,2502.01220,https://arxiv.org/abs/2502.01220,https://arxiv.org/pdf/2502.01220.pdf
JingkunAn/RefSpatial,2506.04308,https://arxiv.org/abs/2506.04308,https://arxiv.org/pdf/2506.04308.pdf
